sound_event_recording,start_time,end_time,ele,azi
phone037.wav,0.770351479077,2.82035147908,-40,-180,4.0
pageturn057.wav,3.66680639648,4.47181773435,-50,130,6.5
pageturn048.wav,5.29581609653,5.89880929381,-50,-110,2.5
keyboard037.wav,6.83747494369,8.85947040854,40,110,9.5
laughter134.wav,9.69796016745,11.3429715053,-10,-50,3.5
doorslam006.wav,12.5250614088,12.9860591412,30,10,3.0
keyboard035.wav,13.2494525188,14.3514479836,-10,-30,1.5
drawer047.wav,15.0865647112,15.9195579084,-20,-170,4.5
drawer010.wav,16.5253833001,18.3253833001,-50,70,5.0
knock054.wav,18.6201705065,19.5701705065,-40,100,1.5
drawer001.wav,20.0863679703,21.4403589,-40,-60,4.5
keyboard058.wav,22.4981032046,24.3641122748,0,-110,5.5
laughter129.wav,25.3749984654,26.6910075357,-60,-170,1.5
doorslam016.wav,27.2969666736,27.7149712088,50,-180,8.5
