sound_event_recording,start_time,end_time,ele,azi
laughter022.wav,0.257502094315,1.80849982675,-20,10,2.0
doorslam012.wav,2.41844695454,3.0734582924,50,90,5.5
keyboard064.wav,3.59677465195,6.55178598982,-20,-130,5.5
clearthroat085.wav,7.39124585398,8.43124585398,50,-80,3.5
cough066.wav,9.18165641442,10.1496609496,10,-120,8.5
drawer050.wav,10.6975729129,11.6885706454,-20,160,4.5
pageturn058.wav,12.6179848212,13.6709780184,10,20,8.0
cough149.wav,14.2258481848,15.0128549875,50,-50,1.5
knock032.wav,16.0081968098,16.9691945423,-60,-100,2.5
keyboard012.wav,17.4371246446,19.3431337149,40,-180,3.0
phone042.wav,20.236197633,21.276197633,20,-80,9.5
drawer001.wav,21.8153681615,23.1693590912,-30,-150,6.0
doorslam002.wav,23.8487896592,24.4638009971,20,-30,2.5
pageturn044.wav,24.7303612606,25.4593635282,-40,-180,6.5
laughter134.wav,26.0550225057,27.7000338436,30,-120,3.5
