sound_event_recording,start_time,end_time,ele,azi
pageturn044.wav,0.144730365114,0.873732632688,50,-120,2.5
pageturn057.wav,1.25917918102,2.06419051889,20,-120,8.5
cough081.wav,2.89858766149,3.88257859119,-20,-180,5.5
knock063.wav,4.41041093672,5.22741773944,10,-140,4.5
knock065.wav,6.17892128383,6.79692581897,50,-30,1.0
keyboard064.wav,7.42234460471,10.3773559426,-60,-10,6.0
clearthroat085.wav,10.6943667254,11.7343667254,30,-160,9.0
pageturn044.wav,12.2014068338,12.9304091014,0,-40,5.0
pageturn005.wav,13.5123115171,14.9703160522,0,-40,1.5
laughter067.wav,15.4486822853,16.5686822853,0,30,3.0
keyboard064.wav,17.7518280103,20.7068393482,50,-160,8.5
laughter108.wav,21.9368505669,23.4838573697,50,110,2.5
drawer034.wav,24.2486414372,25.1336527751,0,20,3.5
speech046.wav,26.2603434938,29.0213412262,30,10,2.0
