sound_event_recording,start_time,end_time,ele,azi
cough149.wav,0.667788281774,1.45479508449,0,-100,9.0
keysDrop026.wav,2.67148981442,2.92248754685,-30,90,9.5
knock064.wav,3.41012729508,4.03912956265,30,-10,5.0
pageturn021.wav,4.62717485218,5.65917031703,-40,-100,4.5
clearthroat014.wav,6.08150765256,6.45450084984,50,-140,2.5
laughter056.wav,6.90647584961,9.64747358204,-20,120,2.5
keysDrop021.wav,10.0450990992,10.2870945641,50,-130,9.5
keysDrop002.wav,11.482749554,11.7587586243,50,70,3.0
laughter115.wav,12.4241611948,12.9991498569,0,-130,3.5
laughter087.wav,14.0805536308,15.6455649687,50,-140,9.0
pageturn051.wav,16.8248461414,17.4968416063,0,130,1.0
keyboard009.wav,18.6336015482,20.6145992806,0,150,4.5
keyboard025.wav,21.069452698,23.4274572332,-50,100,5.5
speech006.wav,24.2180425362,25.5280425362,-20,130,2.0
clearthroat088.wav,25.7887292545,26.6297269869,-50,20,7.0
clearthroat115.wav,27.0958709632,27.6358709632,30,160,6.0
knock067.wav,27.9217356702,28.9387424729,-30,-70,9.0
