sound_event_recording,start_time,end_time,ele,azi
phone079.wav,0.103573241143,1.46357324114,50,30,4.5
keysDrop027.wav,1.98985057868,2.39885284626,-60,-60,1.5
cough012.wav,3.20543235473,4.2544346223,-30,20,1.0
phone061.wav,4.89712803239,6.93712803239,-10,-170,2.0
knock065.wav,7.9980544012,8.61605893634,40,50,1.5
drawer034.wav,9.56464469372,10.4496560316,-10,150,7.0
drawer034.wav,11.1041997943,11.9892111322,50,10,4.0
clearthroat115.wav,13.1503536445,13.6903536445,-10,90,1.0
cough059.wav,14.0151361716,14.9651361716,30,30,1.5
pageturn064.wav,15.2642738573,16.2392851952,-30,160,1.5
knock065.wav,17.2999238564,17.9179283916,-10,30,3.0
laughter087.wav,18.9927398353,20.5577511732,-30,-40,1.0
speech019.wav,21.3307720464,23.7977788491,-20,50,2.5
doorslam006.wav,24.0768083537,24.5378060861,40,-30,6.0
pageturn031.wav,25.4726268988,26.5426268988,-20,-40,2.5
pageturn075.wav,27.6691524865,28.4551615568,-50,-70,2.5
