sound_event_recording,start_time,end_time,ele,azi
phone037.wav,0.652849075444,2.70284907544,20,-40,1.0
speech037.wav,3.43810546333,5.77511226605,30,-30,1.0
cough066.wav,6.95472234664,7.92272688179,50,-100,5.5
doorslam018.wav,9.12130761771,9.427316688,20,110,8.0
pageturn033.wav,10.2108568738,11.2698591414,-40,-10,9.5
clearthroat033.wav,11.7761213274,12.6371190599,10,40,7.5
laughter067.wav,13.5631977143,14.6831977143,-30,-60,4.5
keysDrop014.wav,15.7225503314,16.0305548665,-10,-80,7.5
knock032.wav,16.9521343486,17.9131320811,-30,40,1.0
keysDrop027.wav,19.0240439862,19.4330462538,30,-130,6.5
pageturn033.wav,20.414559342,21.4735616096,-60,140,3.5
doorslam001.wav,21.9376198769,22.5776198769,20,30,9.5
drawer047.wav,23.465205333,24.2981985303,50,-110,5.0
speech005.wav,25.3001427901,27.2231359874,-40,0,7.5
doorslam014.wav,27.670656739,28.0836499362,-10,-170,9.5
