sound_event_recording,start_time,end_time,ele,azi
drawer029.wav,0.820468621312,1.73947088889,40,-70,2.0
keyboard045.wav,2.2315121946,3.82851899732,-40,-130,5.0
knock063.wav,5.03202281092,5.84902961364,0,60,7.0
pageturn002.wav,6.71629475689,8.83629475689,-60,-120,4.5
pageturn057.wav,9.74578419222,10.5507955301,50,-150,2.5
laughter067.wav,11.7751912568,12.8951912568,40,-180,2.0
keyboard037.wav,13.4002595458,15.4222550106,20,-100,5.5
drawer032.wav,15.8081704529,16.4381704529,30,30,2.5
knock067.wav,17.4990438552,18.5160506579,40,-120,9.5
keysDrop028.wav,18.7964269533,18.923433756,20,-80,7.5
clearthroat113.wav,19.8985910078,20.5985910078,10,-20,3.5
knock003.wav,21.5822502889,22.3042457538,-10,-80,8.5
speech019.wav,23.0526953161,25.5197021189,-30,100,4.5
phone061.wav,26.0147571897,28.0547571897,-10,110,2.5
