sound_event_recording,start_time,end_time,ele,azi
keyboard068.wav,0.561481549754,1.69649288762,40,-160,8.0
drawer029.wav,2.53413977657,3.45314204415,50,-90,9.5
doorslam002.wav,4.61337692342,5.22838826128,20,-100,2.5
drawer047.wav,6.36508261837,7.19807581565,30,-10,4.0
keyboard012.wav,7.69944575813,9.60545482842,40,-130,4.5
doorslam007.wav,10.1314149375,10.5914149375,50,70,9.0
knock065.wav,10.9612368361,11.5792413712,-50,130,4.0
knock069.wav,12.6908398263,13.7558511642,-60,-50,7.5
speech056.wav,14.1398230361,15.6778275712,20,30,5.5
clearthroat105.wav,15.9311998254,16.4921975579,-60,-60,1.0
clearthroat047.wav,17.529972241,17.9789745086,-30,-130,3.5
laughter087.wav,18.7898946061,20.354905944,50,-90,8.0
drawer023.wav,21.2719513709,22.2269627088,-40,0,3.5
keysDrop008.wav,23.1390726822,23.4340840201,50,-170,5.5
laughter129.wav,23.7974412183,25.1134502886,-20,160,8.5
laughter005.wav,26.0573235292,28.2823348671,-30,-130,5.0
