sound_event_recording,start_time,end_time,ele,azi
speech007.wav,0.33670176706,1.94470630221,30,160,6.0
keysDrop021.wav,3.18883927211,3.43083473696,20,90,5.5
doorslam008.wav,4.24552720116,4.63852039843,40,-140,7.5
keysDrop003.wav,5.48241319234,5.84742453021,-20,-140,8.5
drawer008.wav,6.91495348508,8.53794668236,20,-20,8.0
phone082.wav,9.24109025315,11.0250811829,-30,110,6.5
keyboard014.wav,11.6062248733,13.9292180706,40,-100,1.5
drawer002.wav,14.7163758526,16.0303667823,10,-150,7.5
laughter056.wav,17.0297983285,19.7707960609,-60,110,9.5
cough092.wav,20.3083543542,21.343365692,-40,-60,1.0
clearthroat002.wav,21.8999531724,22.5139441021,-60,-180,3.0
cough151.wav,23.3348107186,24.1348107186,-40,140,1.0
keyboard064.wav,24.9031396604,27.8581509983,-10,50,7.5
