sound_event_recording,start_time,end_time,ele,azi
phone071.wav,0.904106614595,2.29911795246,-60,130,6.0
pageturn058.wav,3.12835403275,4.18134723003,-50,20,2.5
clearthroat100.wav,5.00162257078,5.6326203032,-10,-70,2.5
knock063.wav,6.79954370705,7.61655050977,-10,-10,6.5
doorslam004.wav,7.89343621476,8.47343621476,-30,-40,7.0
drawer047.wav,9.01392047717,9.84691367445,10,-120,5.0
doorslam001.wav,10.6645038338,11.3045038338,40,-160,3.0
phone071.wav,11.6984751621,13.0934865,-10,130,9.0
phone046.wav,13.5500087038,15.8520041686,-30,-30,2.0
drawer012.wav,17.0385675843,18.6645766546,40,30,6.5
keysDrop031.wav,19.7666371316,20.0146416668,-30,60,2.5
speech037.wav,20.7649050293,23.101911832,0,20,6.0
speech031.wav,23.4895909803,25.1785932479,-40,10,1.0
clearthroat088.wav,25.739579532,26.5805772644,50,110,7.5
keysDrop021.wav,27.7248393368,27.9668348017,-20,-100,5.0
