sound_event_recording,start_time,end_time,ele,azi
keyboard023.wav,0.797355025261,2.56735502526,10,-140,3.0
cough059.wav,2.90924054406,3.85924054406,50,-10,4.5
phone052.wav,4.71057529935,7.06057529935,20,110,6.5
keyboard017.wav,8.16099336912,10.5489979043,-30,140,6.0
phone059.wav,11.1723217466,12.7023217466,-30,160,5.5
knock032.wav,13.8714819485,14.8324796809,10,-150,9.0
keysDrop027.wav,15.6315479415,16.0405502091,40,20,5.5
pageturn002.wav,16.2955808606,18.4155808606,-60,-180,5.5
keyboard044.wav,19.3151701492,20.6151701492,-10,-140,3.5
speech005.wav,21.1623069162,23.0853001134,50,-110,4.0
laughter077.wav,24.3255072215,26.0655072215,-30,0,5.0
speech011.wav,26.4681124017,28.2421033314,-60,30,3.0
keysDrop030.wav,29.1400837971,29.4060928674,30,80,1.5
