sound_event_recording,start_time,end_time,ele,azi
keyboard009.wav,0.700217320825,2.68121505325,50,80,9.0
laughter077.wav,3.11244203013,4.85244203013,10,70,6.0
knock070.wav,5.5614690624,6.63648040027,50,-150,3.0
laughter005.wav,7.61986775047,9.84487908834,-50,-10,5.5
pageturn033.wav,10.3912879243,11.4502901919,50,-50,5.0
knock070.wav,12.6236263693,13.6986377072,10,90,3.0
drawer076.wav,14.5833079678,15.1953034326,30,-110,2.5
speech031.wav,15.9870525837,17.6760548513,-20,30,4.5
speech006.wav,18.1511944706,19.4611944706,40,-90,5.5
cough092.wav,20.3817807521,21.41679209,30,20,9.0
drawer002.wav,21.7247742906,23.0387652203,50,50,3.5
laughter129.wav,24.1817485505,25.4977576208,-40,-70,2.5
keyboard017.wav,26.3067950121,28.6947995472,-60,-110,3.5
