sound_event_recording,start_time,end_time,ele,azi
pageturn033.wav,0.220658421822,1.27966068939,-60,20,3.0
phone082.wav,1.71856472683,3.50255565654,-50,-20,3.5
drawer050.wav,4.60582905396,5.59682678639,-20,-10,3.5
cough092.wav,5.91730323764,6.95231457551,30,-130,5.0
drawer017.wav,7.53827244499,8.86727471256,10,20,2.0
cough149.wav,9.34305134427,10.130058147,-20,50,6.0
pageturn051.wav,10.5368564631,11.208851928,50,90,5.5
doorslam007.wav,11.5236416392,11.9836416392,-30,0,8.0
doorslam022.wav,12.8678981857,13.7649049884,-10,-170,6.0
clearthroat033.wav,14.2544248051,15.1154225376,20,100,3.0
speech056.wav,15.7402661701,17.2782707053,-60,0,6.5
doorslam018.wav,18.2917527447,18.597761815,-60,120,6.0
keyboard045.wav,18.9659140048,20.5629208075,-10,-40,5.0
keysDrop006.wav,20.8591898043,21.1201875368,-40,70,9.0
keyboard045.wav,21.5075606738,23.1045674765,-50,110,1.5
clearthroat033.wav,24.1297904271,24.9907881596,-40,40,7.0
clearthroat105.wav,25.4016216896,25.962619422,40,100,4.5
doorslam015.wav,26.2270333182,26.654040121,-30,-70,7.0
speech005.wav,27.533246085,29.4562392823,10,-170,3.0
