sound_event_recording,start_time,end_time,ele,azi
pageturn058.wav,0.337867417945,1.39086061522,-30,120,5.0
cough047.wav,1.74245862853,2.49046316368,-60,30,6.5
phone037.wav,2.85965423285,4.90965423285,-50,40,2.5
pageturn005.wav,5.57331161715,7.0313161523,50,160,2.5
keyboard058.wav,7.36198809474,9.22799716503,20,130,7.0
knock069.wav,9.64261459566,10.7076259335,-10,-130,4.0
keysDrop002.wav,11.2859692285,11.5619782988,10,100,8.5
keysDrop017.wav,12.0302765724,12.5022720372,-50,100,9.0
keysDrop022.wav,13.10846348,13.4254702828,-50,-130,8.0
clearthroat070.wav,14.6513570003,15.8933524652,40,-180,2.5
pageturn005.wav,16.2527336305,17.7107381656,-50,90,7.0
keyboard005.wav,18.5416964587,21.1516964587,10,-40,1.0
laughter101.wav,22.3344145851,24.0064100499,50,-20,3.0
drawer047.wav,24.5048945937,25.337887791,-60,-60,7.0
laughter056.wav,25.9812264829,28.7222242154,20,-20,2.5
