sound_event_recording,start_time,end_time,ele,azi
speech031.wav,0.302549630862,1.99155189843,30,-50,4.0
keyboard045.wav,3.03043979899,4.62744660171,-20,140,2.5
knock048.wav,5.27178326049,5.93879006321,-20,-80,8.0
drawer023.wav,6.8324414419,7.78745277977,-50,140,8.5
keysDrop021.wav,8.49679912393,8.73879458878,-10,140,5.0
doorslam015.wav,9.06225425766,9.48926106038,0,0,5.5
knock018.wav,10.0640006333,11.1549983657,0,60,2.5
drawer023.wav,12.1473025176,13.1023138555,30,120,6.5
doorslam002.wav,14.1124862467,14.7274975846,30,80,1.5
keysDrop020.wav,15.8389483882,16.2409438531,0,-80,5.5
keyboard045.wav,17.4210140163,19.018020819,-50,-40,5.5
clearthroat002.wav,19.5069747749,20.1209657046,-10,120,9.0
clearthroat043.wav,20.8237793515,21.4867725488,-40,-130,7.5
keysDrop027.wav,22.4155322617,22.8245345293,-60,-30,1.5
speech056.wav,23.8087699604,25.3467744955,20,160,8.5
knock027.wav,26.2005671127,27.2105671127,-20,150,1.5
laughter129.wav,27.8572642489,29.1732733192,10,-160,5.0
