sound_event_recording,start_time,end_time,ele,azi
laughter005.wav,0.029560596219,2.25457193409,-20,130,5.5
knock063.wav,2.90039853464,3.71740533736,30,-160,2.0
laughter087.wav,4.88495043482,6.44996177269,30,-50,6.5
cough012.wav,6.70970809213,7.7587103597,-60,-170,9.5
phone042.wav,8.42323190994,9.46323190994,40,-150,9.5
pageturn031.wav,10.3030549213,11.3730549213,-40,-140,9.5
cough098.wav,12.5829773667,14.185970564,30,-60,1.0
keyboard017.wav,15.2079616421,17.5959661773,-60,-20,9.0
knock010.wav,18.3444253089,18.922429844,-40,-100,2.5
keyboard012.wav,19.3065641988,21.2125732691,-10,20,6.0
laughter077.wav,22.401850246,24.141850246,40,-130,8.5
knock003.wav,25.1022121796,25.8242076444,0,-70,9.0
laughter005.wav,26.6502963196,28.8753076575,-40,110,1.0
