sound_event_recording,start_time,end_time,ele,azi
knock027.wav,0.35852038201,1.36852038201,-40,90,5.0
phone062.wav,2.29544134883,4.53943227854,0,150,9.5
phone038.wav,5.005326647,7.115326647,-50,-80,2.0
doorslam006.wav,8.35401653599,8.81501426841,20,50,8.5
doorslam002.wav,9.56042019332,10.1754315312,-20,-60,7.0
keyboard045.wav,10.62742284,12.2244296427,30,-90,9.0
knock069.wav,13.2925480236,14.3575593615,-10,-100,8.5
pageturn064.wav,15.1905075417,16.1655188796,-30,-120,8.5
clearthroat002.wav,16.454934709,17.0689256387,-40,0,3.5
phone069.wav,17.479615699,18.709615699,-20,120,9.0
keyboard017.wav,19.4620442979,21.8500488331,-10,-150,9.5
laughter119.wav,22.8470142222,23.3760164898,50,70,8.0
cough066.wav,24.1082300529,25.076234588,-40,-50,8.0
knock069.wav,25.9832191399,27.0482304778,-60,-60,1.5
doorslam009.wav,28.1581138999,28.5951207026,-10,50,1.5
