sound_event_recording,start_time,end_time,ele,azi
speech056.wav,0.80240144766,2.34040598281,-30,50,6.5
keyboard012.wav,3.10179941868,5.00780848897,30,0,8.5
keysDrop006.wav,5.76855779472,6.02955552714,20,-20,6.5
speech007.wav,7.08185845209,8.68986298724,0,20,5.5
keyboard045.wav,9.49819520151,11.0952020042,-30,-80,8.0
pageturn051.wav,12.1926137913,12.8646092562,30,80,8.0
keysDrop006.wav,14.0094203007,14.2704180331,50,-110,8.0
cough140.wav,14.9621177755,16.0221177755,-60,150,2.5
clearthroat113.wav,16.5396619067,17.2396619067,50,30,6.5
pageturn064.wav,18.287157638,19.2621689759,0,-60,3.5
speech001.wav,20.1391047108,22.0351137811,0,20,4.5
laughter134.wav,22.5069294508,24.1519407887,20,-160,3.0
laughter119.wav,24.8076340366,25.3366363042,-10,-10,5.5
speech022.wav,26.127911073,29.4629224108,-10,-170,5.5
