sound_event_recording,start_time,end_time,ele,azi
pageturn002.wav,0.736741421526,2.85674142153,30,-120,9.0
doorslam011.wav,3.10896033333,3.7479626009,-30,10,2.5
laughter039.wav,4.25457070353,5.95157750625,-20,70,5.0
drawer001.wav,6.45238411807,7.80637504778,50,30,1.0
speech046.wav,8.99366196599,11.7546596984,20,50,7.5
doorslam021.wav,12.727029526,13.387029526,-10,-120,7.0
speech031.wav,13.662479808,15.3514820756,40,120,5.0
cough081.wav,16.0463865263,17.0303774561,-60,60,6.0
drawer001.wav,17.305367453,18.6593583827,-30,-120,8.0
phone048.wav,19.3625147767,20.6975261145,-20,-90,7.0
cough130.wav,21.1020571575,22.4680662277,20,-60,7.5
cough098.wav,23.709935612,25.3129288093,10,-60,5.5
phone048.wav,26.458693932,27.7937052699,-30,-60,9.0
knock014.wav,28.2382694488,28.8192671812,0,-50,6.5
