sound_event_recording,start_time,end_time,ele,azi
cough140.wav,0.92375186398,1.98375186398,-10,-150,2.0
laughter056.wav,3.00710608222,5.74810381465,20,60,1.5
clearthroat094.wav,6.76244917315,8.3804537083,-50,-170,5.5
knock018.wav,8.70518451442,9.79618224685,-30,100,2.0
doorslam016.wav,10.4312450366,10.8492495718,-10,160,1.5
keyboard068.wav,11.4912899112,12.6263012491,10,130,9.0
keyboard037.wav,12.9039119314,14.9259073963,20,-50,4.5
doorslam014.wav,16.0679596368,16.480952834,-40,130,8.5
doorslam006.wav,16.8763580935,17.3373558259,30,-100,8.0
drawer001.wav,18.1639070135,19.5178979432,0,50,6.5
cough151.wav,19.8194480523,20.6194480523,10,0,7.5
speech042.wav,21.7020850774,23.1350782747,40,140,7.5
phone046.wav,23.7083981929,26.0103936577,-20,-120,3.0
speech046.wav,26.5922060222,29.3532037546,40,10,4.0
