sound_event_recording,start_time,end_time,ele,azi
drawer005.wav,0.894859520978,2.33785271826,-50,-170,7.0
keysDrop008.wav,2.95601199671,3.25102333458,-10,130,6.0
cough066.wav,4.38697158611,5.35497612125,0,100,6.5
laughter077.wav,6.53616736383,8.27616736383,40,30,8.5
keysDrop002.wav,8.86841830346,9.14442737376,-40,160,4.5
keysDrop002.wav,9.92864226772,10.204651338,-10,50,3.5
clearthroat100.wav,11.1513796645,11.7823773969,40,60,4.5
laughter036.wav,12.7721346504,14.4381437207,30,140,5.0
phone052.wav,15.6392482498,17.9892482498,-40,20,3.0
phone079.wav,19.0801988842,20.4401988842,-30,-40,9.0
clearthroat014.wav,21.1242217874,21.4972149847,0,130,7.5
cough151.wav,21.8370861438,22.6370861438,-60,-10,6.0
keysDrop006.wav,23.5331747392,23.7941724716,10,-60,9.0
clearthroat033.wav,24.2473377912,25.1083355236,40,-70,2.0
phone048.wav,26.1981481078,27.5331594457,-30,-10,9.0
