sound_event_recording,start_time,end_time,ele,azi
clearthroat113.wav,0.0158036947507,0.715803694751,40,130,2.5
cough012.wav,1.08136842228,2.13037068985,-40,120,2.0
knock069.wav,3.27316193933,4.3381732772,-60,150,9.0
knock064.wav,4.69812429741,5.32712656499,30,90,7.0
drawer010.wav,6.35527099659,8.15527099659,20,40,4.5
laughter039.wav,8.47037504026,10.167381843,30,-110,1.5
phone069.wav,10.7395207347,11.9695207347,50,150,3.5
clearthroat070.wav,12.516477461,13.7584729258,20,80,1.0
drawer029.wav,14.6424622561,15.5614645237,-20,0,6.0
doorslam002.wav,16.4390814235,17.0540927614,-20,60,8.0
knock070.wav,17.5488330415,18.6238443794,-40,-160,8.5
drawer010.wav,19.7094154964,21.5094154964,-60,-90,5.0
keyboard058.wav,22.029723175,23.8957322453,50,-170,5.5
cough098.wav,24.4186358865,26.0216290838,-40,80,8.5
knock001.wav,26.4736045611,27.3475954908,0,-160,1.0
speech056.wav,27.9200421846,29.4580467197,-30,-130,6.0
