sound_event_recording,start_time,end_time,ele,azi
knock018.wav,0.829940686628,1.92093841906,-20,50,8.5
pageturn075.wav,2.8881271654,3.6741362357,10,-130,6.5
knock014.wav,4.31081924123,4.89181697366,0,-110,6.5
phone059.wav,5.77178326488,7.30178326488,10,40,7.5
laughter075.wav,8.0421029424,9.6021029424,50,60,4.0
pageturn018.wav,9.97642673493,11.6544312701,-30,100,9.0
doorslam007.wav,12.7037724815,13.1637724815,-10,-40,5.5
clearthroat094.wav,14.1992616309,15.817266166,-10,-70,5.0
knock018.wav,16.8568248943,17.9478226267,-20,-10,9.0
pageturn018.wav,19.1426058786,20.8206104138,-30,150,8.0
cough081.wav,21.9593824814,22.9433734111,40,50,2.0
keyboard023.wav,23.6193436592,25.3893436592,10,-10,1.5
cough134.wav,26.4131623916,27.1051578565,20,-70,1.0
doorslam011.wav,28.2744402099,28.9134424775,0,-120,4.0
