sound_event_recording,start_time,end_time,ele,azi
laughter115.wav,0.649265424896,1.22425408703,-30,-130,8.5
knock064.wav,1.87095026436,2.49995253193,-10,-70,8.5
speech056.wav,2.88337308614,4.42137762129,-40,-90,3.5
knock063.wav,4.68995194883,5.50695875155,30,-180,9.0
knock003.wav,6.66680992896,7.38880539381,50,90,7.0
pageturn036.wav,8.54151554443,10.0215155444,-60,70,6.0
phone051.wav,10.2804126265,13.5204126265,20,100,4.0
knock069.wav,14.3909507348,15.4559620727,40,-130,4.5
drawer076.wav,16.2544463692,16.8664418341,0,-100,2.5
knock048.wav,17.6394920658,18.3064988685,10,-90,1.5
speech007.wav,19.4651564229,21.0731609581,10,-130,5.0
keysDrop072.wav,22.0227562492,22.2377675871,-40,-160,9.0
keysDrop031.wav,23.1145096339,23.362514169,0,-170,1.5
knock018.wav,24.3623837408,25.4533814732,-50,-80,5.0
keyboard017.wav,26.1920002777,28.5800048128,10,50,9.5
