sound_event_recording,start_time,end_time,ele,azi
phone059.wav,0.300839176691,1.83083917669,0,-100,3.0
keysDrop020.wav,2.90147128217,3.30346674703,-60,120,6.0
keyboard009.wav,4.43453365671,6.41553138914,30,-100,3.5
cough081.wav,7.53323437138,8.51722530109,-10,-160,8.5
phone059.wav,8.8295917376,10.3595917376,-20,150,5.0
knock018.wav,10.7363631866,11.827360919,0,-20,9.5
cough168.wav,13.0611927735,14.0011927735,10,30,4.0
pageturn044.wav,14.6474879131,15.3764901807,-60,-110,2.5
laughter134.wav,15.6718361708,17.3168475086,-20,-120,5.0
cough149.wav,18.3448034646,19.1318102673,-50,80,1.0
pageturn036.wav,19.5295460966,21.0095460966,-20,120,7.0
speech022.wav,21.3931637363,24.7281750742,-60,-150,4.5
keysDrop028.wav,25.4517020833,25.578708886,-10,160,9.0
pageturn033.wav,26.1777096145,27.2367118821,20,-50,5.5
