sound_event_recording,start_time,end_time,ele,azi
cough149.wav,0.241460212072,1.02846701479,50,-70,5.0
keyboard025.wav,2.1396469784,4.49765151355,20,130,3.5
keyboard058.wav,5.32310565773,7.18911472802,-30,30,8.0
doorslam007.wav,7.73073545251,8.19073545251,40,130,6.5
cough081.wav,8.81621178849,9.80020271819,10,120,7.0
knock010.wav,10.071951976,10.6499565111,10,130,7.5
laughter077.wav,10.965493507,12.705493507,30,-30,7.0
laughter115.wav,13.3581857715,13.9331744336,-20,150,4.0
keysDrop031.wav,15.0868418082,15.3348463433,0,-50,4.5
keyboard044.wav,15.6843375738,16.9843375738,50,-180,2.0
speech055.wav,17.6734011466,19.1434011466,10,-140,9.0
speech056.wav,20.3929206395,21.9309251746,-20,-90,7.5
pageturn036.wav,23.1178216221,24.5978216221,-50,-170,4.5
pageturn075.wav,25.3818942371,26.1679033074,-50,-80,3.0
speech005.wav,26.94806449,28.8710576873,40,-170,7.5
