sound_event_recording,start_time,end_time,ele,azi
phone046.wav,0.996998347064,3.29899381191,30,-140,4.5
speech007.wav,3.7626694762,5.37067401135,-50,-110,3.0
pageturn051.wav,5.97507138585,6.6470668507,0,0,8.5
speech006.wav,7.55086016016,8.86086016016,-20,-120,8.5
drawer010.wav,9.97100205196,11.771002052,0,50,3.0
knock070.wav,12.5156714458,13.5906827837,50,-140,4.0
clearthroat070.wav,14.7867475267,16.0287429916,-10,-20,9.0
laughter079.wav,16.3543742244,18.6213810271,-20,110,3.5
drawer047.wav,19.6849751507,20.517968348,-60,160,8.5
pageturn044.wav,21.6066750514,22.335677319,-40,60,6.5
keysDrop014.wav,22.6202888007,22.9282933359,-10,100,3.5
clearthroat105.wav,24.0853703539,24.6463680863,0,10,8.0
keysDrop027.wav,25.5719967181,25.9809989857,-40,50,6.5
keysDrop029.wav,26.4582221396,26.6632334775,20,-50,3.0
clearthroat088.wav,26.958019798,27.7990175304,-40,30,6.5
